Name,Rating,SkillsMoves,WeakFoot,Pace,Shooting,Passing,Dribbling,Defending,Phyiscality,BaseStats,InGameStats,Position,WorkRate,Club,Country,League,Price
Gonçalo Guedes,83,4,4,90,79,76,83,36,70,434,2052,LM,H\M,Valencia CF,Portugal,LaLiga Santander,11669
Giovani Lo Celso,83,4,3,77,78,82,84,65,72,458,2185,CM,H\M,Tottenham Hotspur,Argentina,Premier League,7634
Fabián,83,4,4,65,78,78,82,74,69,446,2127,CM,M\M,Napoli,Spain,Serie A TIM,1945
Manuel Akanji,83,2,3,78,45,68,72,83,80,426,1943,CB,M\H,Borussia Dortmund,Switzerland,Bundesliga,28566
Trent Alexander-Arnold,83,3,4,80,62,82,78,78,70,450,2156,RB,H\M,Liverpool,England,Premier League,31118
Marcus Rashford,83,5,3,92,82,73,83,45,77,452,2141,ST,H\H,Manchester United,England,Premier League,77428
Iker Casillas Fernández,83,1,2,85,75,61,84,56,86,447,1001,GK,M\M,FC Porto,Spain,Liga NOS,1716
João Miranda de Souza Filho,83,2,3,64,49,60,68,84,74,399,1875,CB,M\H,Jiangsu Suning FC,Brazil,CSL,2484
Falcao,83,3,4,65,82,69,77,43,72,408,2043,ST,H\M,Galatasaray SK,Colombia,Süper Lig,1729
Gabriel Jesus,82,4,3,85,80,72,86,39,71,433,2072,ST,H\H,Manchester City,Brazil,Premier League,37141
Olivier Giroud,82,3,3,46,81,71,73,42,79,392,1954,ST,M\M,Chelsea,France,Premier League,1405
Nacho Fernández,82,2,4,74,37,66,65,81,79,402,1869,CB,M\H,Real Madrid,Spain,LaLiga Santander,1929
Stefan Savic,82,2,3,55,35,54,58,84,72,358,1682,CB,M\H,Atlético Madrid,Montenegro,LaLiga Santander,1295
Sergio Asenjo,82,1,3,84,82,77,81,57,80,461,1020,GK,M\M,Villarreal CF,Spain,LaLiga Santander,2295
Pacheco,82,1,2,81,79,70,83,46,83,442,967,GK,M\M,D. Alavés,Spain,LaLiga Santander,1045
Daniele De Rossi,82,2,4,59,64,73,70,85,77,428,2126,CDM,M\H,Buenos Aires,Italy,SAF,924
Héctor Herrera,82,3,4,72,75,75,76,78,81,457,2164,CM,H\H,Atlético Madrid,Mexico,LaLiga Santander,1890
Juan Mata,82,4,3,62,74,83,83,36,47,385,1980,CAM,M\M,Manchester United,Spain,Premier League,1026
Giuliano,82,4,3,81,77,79,83,46,75,441,2094,CAM,H\M,Al Nassr,Brazil,Saudi Professional League,1285
Marlos Romero Bonfim,82,5,3,83,78,79,86,46,73,445,2112,RM,M\M,Shakhtar Donetsk,Ukraine,Ukraine Liga,1830
Taison,82,4,3,92,79,75,86,47,69,448,2095,CAM,M\M,Shakhtar Donetsk,Brazil,Ukraine Liga,4150
Giacomo Bonaventura,82,4,3,73,77,82,82,72,69,455,2215,CM,H\M,Milan,Italy,Serie A TIM,1885
Pedro,82,4,5,75,77,77,83,43,56,411,1993,RW,H\H,Chelsea,Spain,Premier League,1619
Ander Herrera,82,3,4,70,72,78,80,82,77,459,2213,CM,H\H,Paris Saint-Germain,Spain,Ligue 1 Conforama,2552
Mario Götze,82,4,4,71,78,85,86,56,70,446,2176,CF,H\M,Borussia Dortmund,Germany,Bundesliga,974
Thomas Delaney,82,3,4,77,73,74,75,83,82,464,2233,CDM,H\H,Borussia Dortmund,Denmark,Bundesliga,5073
Mário Fernandes,82,3,3,82,60,74,78,81,79,454,2112,RWB,H\H,CSKA Moscow,Russia,League of Russia,845
Sergi Roberto,82,4,3,78,63,81,78,77,73,450,2103,RB,H\H,FC Barcelona,Spain,LaLiga Santander,1795
Thomas Meunier,82,3,4,79,75,77,75,78,84,468,2185,RB,H\H,Paris Saint-Germain,Belgium,Ligue 1 Conforama,4129
Jérôme Roussillon,82,3,3,89,65,76,80,78,78,466,2163,LB,H\M,VfL Wolfsburg,France,Bundesliga,21298
Suso,82,4,3,78,76,83,87,33,53,410,1971,RW,H\M,Milan,Spain,Serie A TIM,1486
Antonio Rüdiger,82,2,3,72,43,67,64,82,78,406,1872,CB,M\H,Chelsea,Germany,Premier League,2962
Ricardo Pereira,82,3,4,86,64,77,81,79,73,460,2160,RB,H\H,Leicester City,Portugal,Premier League,16950
Duván Zapata,82,3,4,71,81,56,76,37,83,404,1887,ST,H\M,Atalanta,Colombia,Serie A TIM,1081
Naby Keïta,82,4,4,71,73,76,88,65,66,439,2101,CM,H\M,Liverpool,Guinea,Premier League,2052
Presnel Kimpembe,82,2,3,75,39,67,68,81,83,413,1915,CB,H\H,Paris Saint-Germain,France,Ligue 1 Conforama,15284
Steven Bergwijn,82,4,2,89,75,76,85,40,73,438,2033,RW,M\M,PSV,Netherlands,Eredivisie,1652
Gelson Martins,82,5,3,95,71,74,86,47,61,434,2058,RM,H\M,AS Monaco Football Club SA,Portugal,Ligue 1 Conforama,4350
Nélson Semedo,82,4,3,92,57,69,81,77,75,451,2074,RB,M\H,FC Barcelona,Portugal,LaLiga Santander,21030
Leon Bailey,82,4,4,91,77,75,84,33,64,424,2032,LW,M\M,Bayer 04 Leverkusen,Jamaica,Bundesliga,5165
Marko Arnautovic,82,4,4,80,79,77,81,47,82,446,2118,ST,H\M,Shanghai SIPG FC,Austria,CSL,923
Mattia Perin,82,1,3,82,82,71,87,57,79,458,941,GK,M\M,Piemonte Calcio,Italy,Serie A TIM,955
Rafa,82,4,3,93,71,74,86,50,52,426,2020,LM,H\M,SL Benfica,Portugal,Liga NOS,1611
Hirving Lozano,82,4,3,93,76,73,83,41,66,432,2039,RW,H\L,Napoli,Mexico,Serie A TIM,20558
Aduriz,82,3,3,61,82,64,76,49,74,406,1991,ST,H\M,Athletic Club,Spain,LaLiga Santander,1386
Jesús Navas,82,4,2,87,69,77,83,69,53,438,2114,RM,H\M,Sevilla FC,Spain,LaLiga Santander,1820
Santi Cazorla,82,4,5,56,73,85,84,65,58,421,2112,CM,H\L,Villarreal CF,Spain,LaLiga Santander,1191
Lucas Biglia,82,3,4,55,63,81,81,77,68,425,2100,CDM,M\H,Milan,Argentina,Serie A TIM,1298
Willian,82,4,4,85,78,80,85,49,60,437,2055,RW,H\H,Chelsea,Brazil,Premier League,14156
Alexis Sánchez,82,4,3,81,78,77,84,44,73,437,2134,LW,H\H,Inter,Chile,Serie A TIM,1524
Aleksandar Kolarov,82,3,3,69,74,81,77,82,79,462,2277,LB,H\M,Roma,Serbia,Serie A TIM,4271
Bas Dost,82,2,3,50,82,57,66,45,80,380,1796,ST,M\M,Eintracht Frankfurt,Netherlands,Bundesliga,1093
Muniain,82,4,3,80,72,77,87,51,58,425,2042,CAM,M\L,Athletic Club,Spain,LaLiga Santander,1473
Stephan El Shaarawy,82,5,3,87,78,71,84,42,60,422,1990,LW,M\H,Shanghai Greenland Shenhua FC,Italy,CSL,1647
Xherdan Shaqiri,82,5,4,80,77,81,85,46,69,438,2106,RW,M\M,Liverpool,Switzerland,Premier League,4162
Oliver Baumann,82,1,1,82,80,70,84,49,79,444,905,GK,M\M,TSG 1899 Hoffenheim,Germany,Bundesliga,923
Willian José,82,4,4,69,82,68,75,40,81,415,1960,ST,M\L,Real Sociedad,Brazil,LaLiga Santander,3120
Joel Matip,82,2,2,61,46,68,67,83,76,401,1873,CB,M\M,Liverpool,Cameroon,Premier League,1720
Sebastián Coates,82,2,3,54,43,55,60,83,85,380,1728,CB,M\M,Sporting CP,Uruguay,Liga NOS,1398
Cédric Bakambu,82,3,4,90,81,72,80,35,76,434,2053,ST,M\M,Beijing Guoan,Congo DR,CSL,1380
Nico Schulz,82,3,2,90,52,76,80,74,76,448,2047,LWB,H\M,Borussia Dortmund,Germany,Bundesliga,13450
Kevin Volland,82,3,4,76,84,79,79,41,83,442,2134,ST,H\H,Bayer 04 Leverkusen,Germany,Bundesliga,1338
Benjamin Lecomte,82,1,3,82,78,78,83,42,81,444,819,GK,M\M,AS Monaco Football Club SA,France,Ligue 1 Conforama,2975
Gabriel Paulista,82,2,2,71,49,69,65,83,81,418,1974,CB,L\H,Valencia CF,Brazil,LaLiga Santander,4865
Karim Bellarabi,82,4,3,92,76,74,84,34,71,431,2010,RW,H\M,Bayer 04 Leverkusen,Germany,Bundesliga,6986
Harry Maguire,82,2,3,50,53,64,70,81,84,402,1917,CB,H\H,Manchester United,England,Premier League,2022
Thorgan Hazard,82,4,4,82,77,80,85,47,64,435,2105,RM,H\M,Borussia Dortmund,Belgium,Bundesliga,6448
Mateo Kovacic,82,4,4,76,68,81,86,67,70,448,2140,CM,H\H,Chelsea,Croatia,Premier League,2086
Jesse Lingard,82,4,3,80,78,76,83,58,72,447,2161,CAM,H\H,Manchester United,England,Premier League,5592
Emil Forsberg,82,4,4,70,71,81,83,33,62,400,1948,CAM,M\M,RB Leipzig,Sweden,Bundesliga,1153
Filip Kostic,82,3,2,87,76,77,81,67,78,466,2186,LM,H\H,Eintracht Frankfurt,Serbia,Bundesliga,2165
Andrea Belotti,82,3,5,77,81,57,77,41,82,415,1978,ST,H\H,Torino,Italy,Serie A TIM,1062
Quincy Promes,82,5,4,91,79,79,82,40,67,438,2089,LW,H\M,Ajax,Netherlands,Eredivisie,3018
Jamie Vardy,82,3,3,88,81,65,75,55,75,439,2093,ST,H\H,Leicester City,England,Premier League,23989
Thomas Partey,82,3,3,73,72,77,77,79,84,462,2148,CM,M\H,Atlético Madrid,Ghana,LaLiga Santander,6319
Nicolás Tagliafico,82,3,2,81,57,72,76,80,81,447,2098,LB,H\H,Ajax,Argentina,Eredivisie,9621
Daniele Rugani,82,2,3,64,39,55,65,85,74,382,1767,CB,L\M,Piemonte Calcio,Italy,Serie A TIM,1615
Kerem Demirbay,82,4,4,67,74,82,84,64,70,441,2141,CM,M\M,Bayer 04 Leverkusen,Germany,Bundesliga,1464
Thomas Strakosha,82,1,2,84,78,75,87,43,79,446,872,GK,M\M,Lazio,Albania,Serie A TIM,1126
Ángel Correa,82,4,4,83,80,75,86,54,65,443,2084,RM,H\M,Atlético Madrid,Argentina,LaLiga Santander,4435
Iñaki Williams,82,4,2,94,80,72,80,41,82,449,2074,ST,H\H,Athletic Club,Spain,LaLiga Santander,27688
Matteo Politano,82,4,4,84,77,78,84,42,57,422,2036,RM,H\M,Inter,Italy,Serie A TIM,1313
Morales,82,4,4,89,81,76,85,58,69,458,2168,ST,H\M,Levante UD,Spain,LaLiga Santander,12160
Lucas Torreira,82,3,3,75,67,77,80,81,75,455,2175,CDM,M\H,Arsenal,Uruguay,Premier League,1895
Rúben Neves,82,3,4,62,74,83,76,70,73,438,2167,CM,M\H,Wolverhampton Wanderers,Portugal,Premier League,1188
André Onana,82,1,3,84,80,86,83,63,76,472,1070,GK,M\M,Ajax,Cameroon,Eredivisie,919
Oyarzabal,82,3,3,75,82,79,82,39,61,418,1977,LW,H\M,Real Sociedad,Spain,LaLiga Santander,1495
Emiliano Viviano,82,1,2,83,84,76,83,31,81,438,862,GK,M\M,Sporting CP,Italy,Liga NOS,1073
Mario Balotelli,82,4,4,76,82,73,79,24,76,410,1959,ST,M\L,Brescia,Italy,Serie A TIM,1133
Alphonse Areola,82,1,3,85,79,80,84,55,78,461,1038,GK,M\M,Real Madrid,France,LaLiga Santander,7775
Lucas Vázquez,81,4,4,82,73,79,81,58,69,442,2120,RW,H\L,Real Madrid,Spain,LaLiga Santander,1002
Jordi Masip,81,1,4,82,82,72,84,65,77,462,1053,GK,M\M,R. Valladolid CF,Spain,LaLiga Santander,748
Éder Militão,81,2,2,79,50,66,71,81,81,428,2004,CB,M\H,Real Madrid,Brazil,LaLiga Santander,22160
Marcos Alonso,81,3,3,66,73,79,77,79,79,453,2202,LB,H\L,Chelsea,Spain,Premier League,2315
Luke Shaw,81,3,2,82,54,75,80,80,78,449,2129,LB,H\M,Manchester United,England,Premier League,5657
James Milner,81,3,4,61,70,82,78,77,78,446,2215,CM,H\H,Liverpool,England,Premier League,867
Bafétimbi Gomis,81,4,3,70,82,66,76,36,74,404,1926,ST,H\L,Al Hilal,France,Saudi Professional League,793
Cesc Fàbregas,81,3,3,53,73,87,78,60,56,407,2055,CM,H\M,AS Monaco Football Club SA,Spain,Ligue 1 Conforama,817
Łukasz Piszczek,81,2,4,77,68,75,73,82,78,453,2162,RB,M\M,Borussia Dortmund,Poland,Bundesliga,2076
Dimitri Payet,81,4,4,71,77,82,81,38,67,416,2014,CAM,H\L,Olympique de Marseille,France,Ligue 1 Conforama,1005
Moussa Sissoko,81,3,3,80,70,78,79,79,89,475,2211,CM,H\H,Tottenham Hotspur,France,Premier League,40148
Fernando,81,3,2,61,62,71,71,81,82,428,2038,CDM,M\M,Sevilla FC,Brazil,LaLiga Santander,850
Sebastian Giovinco,81,4,4,81,79,79,87,27,56,409,2010,CF,H\M,Al Hilal,Italy,Saudi Professional League,769
Adem Ljajic,81,4,4,78,75,80,84,37,61,415,2018,CAM,H\L,Beşiktaş JK,Serbia,Süper Lig,702
Jesús Corona,81,5,5,83,70,75,88,62,54,432,2119,RM,M\M,FC Porto,Mexico,Liga NOS,945
André Almeida,81,3,3,68,63,76,75,82,82,446,2097,RB,M\H,SL Benfica,Portugal,Liga NOS,1538
Granit Xhaka,81,3,3,51,67,81,71,69,78,417,2017,CM,M\M,Arsenal,Switzerland,Premier League,747
Yussuf Poulsen,81,3,3,83,74,67,75,56,82,437,2018,ST,H\H,RB Leipzig,Denmark,Bundesliga,1148
Ryan Fraser,81,3,4,90,73,78,83,46,61,431,2054,LM,H\M,Bournemouth,Scotland,Premier League,5305
Josef Martínez,81,3,4,89,79,61,79,25,73,406,1951,ST,H\M,Atlanta United,Venezuela,Major League Soccer,700
Piotr Zielinski,81,4,5,81,72,81,83,70,61,448,2114,CM,M\M,Napoli,Poland,Serie A TIM,1971
Thiago Mendes,81,4,3,78,70,78,79,77,74,456,2168,CDM,H\M,Olympique Lyonnais,Brazil,Ligue 1 Conforama,1114
Armando Izzo,81,2,4,68,33,48,65,83,75,372,1720,CB,M\M,Torino,Italy,Serie A TIM,948
Dani Ceballos,81,4,3,69,67,79,84,68,68,435,2072,CM,H\M,Arsenal,Spain,Premier League,860
Lautaro Martínez,81,4,4,81,77,68,82,40,83,431,2023,ST,H\M,Inter,Argentina,Serie A TIM,968
Houssem Aouar,81,4,3,79,71,79,83,66,67,445,2117,CM,H\M,Olympique Lyonnais,France,Ligue 1 Conforama,1043
Tanguy Ndombele,81,4,3,80,65,78,87,70,78,458,2149,CM,M\M,Tottenham Hotspur,France,Premier League,18274
Emre Can,81,3,4,70,68,77,79,81,84,459,2188,CM,M\M,Piemonte Calcio,Germany,Serie A TIM,2060
Jérémy Mathieu,81,2,2,68,64,73,63,83,81,432,2072,CB,H\M,Sporting CP,France,Liga NOS,1538
Lisandro López,81,4,4,75,82,73,80,50,70,430,2093,ST,H\H,Racing Club,Argentina,SAF,745
Mousa Dembélé,81,4,2,73,68,77,87,77,80,462,2177,CM,M\M,Guangzhou R&F FC,Belgium,CSL,762
Andrés Guardado,81,4,2,68,68,81,82,72,68,439,2162,CM,M\M,Real Betis,Mexico,LaLiga Santander,910
Kévin Gameiro,81,3,4,85,79,74,77,43,67,425,2069,ST,M\M,Valencia CF,France,LaLiga Santander,2285
Beñat,81,3,3,49,73,84,74,67,71,418,2088,CM,L\M,Athletic Club,Spain,LaLiga Santander,873
Fernando Muslera,81,1,2,81,75,75,83,61,81,456,1048,GK,M\M,Galatasaray SK,Uruguay,Süper Lig,707
Marco Parolo,81,3,4,64,76,76,76,79,79,450,2171,CDM,H\H,Lazio,Italy,Serie A TIM,840
Nicolas Nkoulou,81,2,3,70,44,64,70,82,74,404,1917,CB,M\M,Torino,Cameroon,Serie A TIM,1293
Nemanja Matic,81,3,3,48,68,77,72,80,78,423,2059,CDM,M\M,Manchester United,Serbia,Premier League,735
Timo Horn,81,1,3,82,80,79,84,47,78,450,905,GK,M\M,1. FC Köln,Germany,Bundesliga,745
Geoffrey Kondogbia,81,4,2,69,73,76,79,78,88,463,2177,CM,H\M,Valencia CF,Central African Republic,LaLiga Santander,3040
Alessandro Florenzi,81,4,3,82,77,76,80,77,73,465,2275,RB,H\M,Roma,Italy,Serie A TIM,5690
Eran Zahavi,81,4,4,75,81,73,82,39,70,420,2034,CF,H\L,Guangzhou R&F FC,Israel,CSL,700
Marcel Sabitzer,81,3,4,74,80,76,79,57,77,443,2124,CAM,H\H,RB Leipzig,Austria,Bundesliga,868
Alessio Cragno,81,1,3,84,78,69,88,39,76,434,872,GK,M\M,Cagliari,Italy,Serie A TIM,730
Luka Milivojevic,81,2,2,55,67,76,68,78,84,428,2106,CDM,M\H,Crystal Palace,Serbia,Premier League,700
Alassane Pléa,81,4,3,76,81,76,78,39,74,424,2047,ST,H\M,Borussia Mönchengladbach,France,Bundesliga,875
Franco Vázquez,81,4,3,56,78,80,80,58,72,424,2030,CM,M\M,Sevilla FC,Argentina,LaLiga Santander,1179
Abdoulaye Doucouré,81,3,3,69,74,73,76,79,82,453,2097,CDM,H\M,Watford,France,Premier League,1324
Guerreiro,81,4,2,73,75,82,85,66,57,438,2127,LM,M\M,Borussia Dortmund,Portugal,Bundesliga,1615
Gayà,81,4,3,85,61,77,80,75,69,447,2095,LB,H\M,Valencia CF,Spain,LaLiga Santander,3275
João Mário,81,4,4,69,69,80,83,64,67,432,2083,CAM,M\M,Lokomotiv Moscow,Portugal,League of Russia,788
Gerónimo Rulli,81,1,3,83,77,77,86,52,75,450,966,GK,M\M,Montpellier Hérault SC,Argentina,Ligue 1 Conforama,1167
Donny van de Beek,81,3,3,71,78,77,79,71,79,455,2170,CAM,H\H,Ajax,Netherlands,Eredivisie,1079
Victor Lindelöf,81,3,4,74,50,72,73,82,78,429,2027,CB,M\H,Manchester United,Sweden,Premier League,1662
Wout Weghorst,81,3,3,63,80,59,69,39,83,393,1861,ST,H\H,VfL Wolfsburg,Netherlands,Bundesliga,753
Marcos Acuña,81,4,3,76,74,81,86,76,84,477,2301,LW,H\H,Sporting CP,Argentina,Liga NOS,1169
Wilfred Ndidi,81,3,4,71,62,67,74,83,82,439,2106,CDM,M\H,Leicester City,Nigeria,Premier League,1460
David Neres,81,5,3,87,73,73,87,36,65,421,1974,LW,M\M,Ajax,Brazil,Eredivisie,2943
Quaresma,81,5,4,77,73,82,86,24,63,405,1984,RM,H\L,Kasimpaşa SK,Portugal,Süper Lig,2157
Luiz Gustavo,81,3,3,58,60,69,70,80,82,419,2030,CDM,M\H,Fenerbahçe SK,Brazil,Süper Lig,976
Henrikh Mkhitaryan,81,4,5,78,76,78,82,55,66,435,2107,RM,H\H,Roma,Armenia,Serie A TIM,948
Rafinha,81,4,4,67,76,79,83,68,60,433,2098,CAM,H\M,RC Celta,Brazil,LaLiga Santander,826
Benjamin Mendy,80,3,3,81,51,77,77,77,77,440,2047,LB,H\L,Manchester City,France,Premier League,8767
Hermoso,80,2,3,79,49,72,71,79,77,427,2020,CB,H\M,Atlético Madrid,Spain,LaLiga Santander,1522
Aïssa Mandi,80,2,3,66,46,74,71,81,72,410,1973,CB,H\M,Real Betis,Algeria,LaLiga Santander,931
Sidnei,80,2,2,70,55,61,65,78,82,411,1853,CB,H\M,Real Betis,Brazil,LaLiga Santander,1014
João Félix Sequeira,80,5,4,82,80,74,81,40,70,427,2063,CF,H\M,Atlético Madrid,Portugal,LaLiga Santander,21965
Danny Rose,80,3,3,77,62,74,79,80,75,447,2127,LB,M\H,Tottenham Hotspur,England,Premier League,3335
Nani,80,5,5,72,75,79,86,37,62,411,2005,LW,H\M,Orlando City Soccer Club,Portugal,Major League Soccer,830
Javier Mascherano,80,2,3,66,53,72,69,79,75,414,2026,CDM,L\H,Hebei China Fortune FC,Argentina,CSL,1600
Igor Akinfeev,80,1,3,77,72,78,84,51,82,444,917,GK,M\M,CSKA Moscow,Russia,League of Russia,700
André-Pierre Gignac,80,3,3,69,82,71,72,43,83,420,2015,ST,M\M,Tigres U.A.N.L.,France,LIGA Bancomer MX,817
Erik Lamela,80,4,2,75,77,79,82,51,72,436,2116,RM,H\H,Tottenham Hotspur,Argentina,Premier League,2085
Marcelo Díaz,80,3,3,59,67,81,75,74,75,431,2152,CDM,M\H,Racing Club,Chile,SAF,719
Kieran Trippier,80,3,4,74,60,81,76,78,72,441,2159,RB,H\M,Atlético Madrid,England,LaLiga Santander,1145
Fedor Smolov,80,4,4,86,81,70,76,32,73,418,1972,ST,H\M,Lokomotiv Moscow,Russia,League of Russia,1293
Eduardo Salvio,80,4,4,86,75,73,84,58,68,444,2141,RM,H\M,Buenos Aires,Argentina,SAF,1280
Ricardo Rodríguez,80,3,3,70,67,79,76,78,74,444,2181,LB,M\M,Milan,Switzerland,Serie A TIM,1843
Younès Belhanda,80,4,4,73,76,78,83,57,71,438,2140,CAM,M\M,Galatasaray SK,Morocco,Süper Lig,1013
Domagoj Vida,80,2,3,75,40,59,61,82,79,396,1838,CB,M\H,Beşiktaş JK,Croatia,Süper Lig,971
Ismaily,80,4,2,82,66,74,81,75,75,453,2101,LB,H\M,Shakhtar Donetsk,Brazil,Ukraine Liga,4490
Deulofeu,80,4,4,88,73,75,87,30,56,409,1954,RF,H\L,Watford,Spain,Premier League,2850
Héctor Bellerín,80,3,3,92,51,70,77,76,66,432,1992,RB,H\L,Arsenal,Spain,Premier League,15121
Šime Vrsaljko,80,3,3,77,55,74,75,79,77,437,2071,RB,H\M,Atlético Madrid,Croatia,LaLiga Santander,1098
Raúl Jiménez,80,3,4,78,78,71,75,47,79,428,2025,ST,H\H,Wolverhampton Wanderers,Mexico,Premier League,1088
Bernard,80,4,4,87,69,76,85,38,44,399,1939,LM,H\M,Everton,Brazil,Premier League,3280
Leandro Paredes,80,4,4,71,67,81,79,72,74,444,2150,CM,M\M,Paris Saint-Germain,Argentina,Ligue 1 Conforama,1290
Gabriel,80,3,5,63,74,77,79,76,83,452,2186,CM,M\H,SL Benfica,Brazil,Liga NOS,1224
Keita Baldé,80,4,4,91,76,72,83,29,69,420,1936,RM,H\L,AS Monaco Football Club SA,Senegal,Ligue 1 Conforama,1710
Youri Tielemans,80,4,5,63,78,82,78,68,67,436,2153,CM,M\M,Leicester City,Belgium,Premier League,781
Harry Winks,80,3,3,70,58,77,83,71,66,425,2015,CM,M\H,Tottenham Hotspur,England,Premier League,810
Moussa Marega,80,3,3,88,79,63,65,41,90,426,1949,ST,H\M,FC Porto,Mali,Liga NOS,890
Ferland Mendy,80,4,5,89,64,73,79,75,81,461,2128,LB,H\M,Real Madrid,France,LaLiga Santander,36772
Joaquín,80,4,3,66,78,83,82,44,56,409,1973,LM,H\M,Real Betis,Spain,LaLiga Santander,971
Wayne Rooney,80,3,4,64,81,80,76,56,76,433,2153,ST,M\H,D.C. United,England,Major League Soccer,702
Jorge Molina,80,3,4,39,83,67,70,41,70,370,1803,ST,M\M,Getafe CF,Spain,LaLiga Santander,700
Steve Mandanda,80,1,3,80,79,74,81,49,79,442,918,GK,M\M,Olympique de Marseille,France,Ligue 1 Conforama,795
Stefan Radu,80,3,3,64,64,65,68,83,69,413,1963,CB,M\H,Lazio,Romania,Serie A TIM,1038
Raúl García,80,3,3,47,82,80,77,72,81,439,2157,CAM,H\M,Athletic Club,Spain,LaLiga Santander,864
Naldo,80,2,4,53,65,62,61,81,71,393,1890,CB,M\M,AS Monaco Football Club SA,Brazil,Ligue 1 Conforama,876
Daniel Wass,80,3,3,73,77,81,77,76,75,459,2200,CM,M\M,Valencia CF,Denmark,LaLiga Santander,2460
Pedro León,80,4,3,60,78,85,80,45,59,407,1973,RM,M\L,SD Eibar,Spain,LaLiga Santander,870
Ignacio Piatti,80,5,4,73,81,74,84,55,75,442,2076,LW,H\M,Impact Montréal,Argentina,Major League Soccer,1200
Lars Bender,80,2,3,65,64,72,72,83,77,433,2065,RB,M\H,Bayer 04 Leverkusen,Germany,Bundesliga,988
Antunes,80,4,3,75,69,76,76,77,72,445,2156,LB,H\M,Getafe CF,Portugal,LaLiga Santander,1620
Ralf Fährmann,80,1,1,82,79,44,84,42,79,410,862,GK,M\M,Norwich City,Germany,Premier League,1230
Makoto Hasebe,80,3,3,53,51,76,72,81,69,402,2006,CB,M\M,Eintracht Frankfurt,Japan,Bundesliga,803
Lucas Pratto,80,4,3,71,79,72,75,58,86,441,2096,ST,H\M,Núñez,Argentina,SAF,708
Sofiane Feghouli,80,4,3,86,72,74,82,34,64,412,1952,RM,H\L,Galatasaray SK,Algeria,Süper Lig,726
Mateo Musacchio,80,3,3,66,47,63,68,83,72,399,1908,CB,M\M,Milan,Argentina,Serie A TIM,1129
Steven Nzonzi,80,2,3,42,55,71,69,79,86,402,1926,CDM,M\M,Galatasaray SK,France,Süper Lig,838
Manuel Lanzini,80,4,3,77,72,78,85,32,50,394,1939,CAM,M\M,West Ham United,Argentina,Premier League,1133
Hulk,80,4,3,78,85,76,80,47,86,452,2126,RM,H\M,Shanghai SIPG FC,Brazil,CSL,3048
Kevin Vogt,80,2,3,73,57,71,67,80,79,427,1979,CB,H\M,TSG 1899 Hoffenheim,Germany,Bundesliga,1543
Callum Wilson,80,4,3,87,78,67,77,39,75,423,1977,ST,H\M,Bournemouth,England,Premier League,7836
Josuha Guilavogui,80,2,3,59,59,67,66,83,79,413,1961,CDM,M\H,VfL Wolfsburg,France,Bundesliga,773
Alex Oxlade-Chamberlain,80,4,4,82,73,78,83,66,73,455,2140,CM,H\H,Liverpool,England,Premier League,3386
Luis Muriel,80,4,4,88,76,68,83,27,68,410,1930,ST,H\M,Atalanta,Colombia,Serie A TIM,1610
Ibai Gómez,80,4,5,76,79,80,80,59,67,441,2106,RM,M\M,Athletic Club,Spain,LaLiga Santander,1007
Campaña,80,4,3,61,73,81,78,73,72,438,2117,CM,M\M,Levante UD,Spain,LaLiga Santander,717
Hans Vanaken,80,4,5,48,76,81,77,65,73,420,2063,CAM,H\H,Club Brugge KV,Belgium,Belgium Pro League,726
Cristian Tello,80,4,4,89,75,76,81,48,61,430,2018,LM,M\M,Real Betis,Spain,LaLiga Santander,1500
Salif Sané,80,2,3,62,49,65,64,80,81,401,1831,CB,M\H,FC Schalke 04,Senegal,Bundesliga,1010
Pozuelo,80,4,5,66,73,78,83,50,60,410,2013,CAM,H\M,Toronto FC,Spain,Major League Soccer,729
Kurt Zouma,80,2,3,64,51,59,56,78,83,391,1876,CB,M\M,Chelsea,France,Premier League,1075
Bernat,80,4,3,82,61,78,85,74,66,446,2131,LB,H\M,Paris Saint-Germain,Spain,Ligue 1 Conforama,4755
Hakan Çalhanoğlu,80,4,4,67,75,82,83,59,58,424,2100,LW,M\M,Milan,Turkey,Serie A TIM,1120
Nathan Aké,80,2,3,75,53,70,72,81,77,428,2028,CB,M\H,Bournemouth,Netherlands,Premier League,1613
Juan Fernando Quintero,80,4,2,73,77,81,83,37,50,401,1972,CAM,H\L,Núñez,Colombia,SAF,700
Marcel Halstenberg,80,3,3,69,66,72,72,80,80,439,2112,LB,H\M,RB Leipzig,Germany,Bundesliga,1671
Moussa Dembélé,80,4,3,82,77,61,76,30,81,407,1909,ST,H\M,Olympique Lyonnais,France,Ligue 1 Conforama,1662
Iván Marcone,80,4,3,55,58,73,79,75,83,423,2006,CDM,M\H,Buenos Aires,Argentina,SAF,700
Joaquín Correa,80,4,4,84,75,75,84,39,67,424,1979,CF,H\M,Lazio,Argentina,Serie A TIM,752
Mattia Caldara,80,2,3,64,34,46,63,83,74,364,1667,CB,M\H,Milan,Italy,Serie A TIM,833
Krzysztof Piatek,80,3,3,76,80,53,73,38,71,391,1844,ST,M\M,Milan,Poland,Serie A TIM,883
Joe Gomez,80,3,3,81,30,64,68,79,76,398,1787,CB,M\M,Liverpool,England,Premier League,2901
Eric Bailly,80,3,3,76,42,58,63,79,80,398,1853,CB,M\H,Manchester United,Côte d'Ivoire,Premier League,1573
