Name,Rating,SkillsMoves,WeakFoot,Pace,Shooting,Passing,Dribbling,Defending,Phyiscality,BaseStats,InGameStats,Position,WorkRate,Club,Country,League,Price
Marko Arnautović,82,4,4,77,74,79,81,53,80,444,2100,LM,M\M,West Ham United,Austria,Premier League,2600
Yacine Brahimi,82,4,3,80,73,76,89,33,56,407,2002,LM,M\M,FC Porto,Algeria,Liga NOS,1300
Sebastian Giovinco,82,4,4,81,81,78,87,27,57,411,2018,CF,H\M,Toronto FC,Italy,Major League Soccer,750
Gylfi Sigurðsson,82,3,3,66,81,84,79,52,70,432,2119,CAM,H\M,Everton,Iceland,Premier League,5500
Wojciech Szczęsny,82,1,3,83,77,74,87,51,78,450,916,GK,M\M,Juventus,Poland,Calcio A,1200
Mario Balotelli,82,4,4,80,82,70,79,26,77,414,1954,ST,L\L,OGC Nice,Italy,Ligue 1 Conforama,4600
Lars Stindl,82,3,4,71,84,79,79,64,74,451,2203,CF,M\M,Borussia Mönchengladbach,Germany,Bundesliga,900
Marlos,82,5,3,83,76,78,87,48,66,438,2095,RM,M\M,Shakhtar Donetsk,Brazil,Ukrayina Liha,3900
Taison,82,4,3,92,79,75,85,47,63,441,2066,LM,M\M,Shakhtar Donetsk,Brazil,Ukrayina Liha,2900
Victor Wanyama,82,2,3,64,66,70,74,82,91,447,2120,CDM,M\H,Tottenham Hotspur,Kenya,Premier League,4000
Kevin Trapp,82,1,4,80,78,79,84,45,84,450,837,GK,M\M,Paris Saint-Germain,Germany,Ligue 1 Conforama,1300
Parejo,82,3,4,52,77,87,77,61,71,425,2122,CM,M\M,Valencia CF,Spain,LaLiga Santander,1300
Iborra,82,2,4,50,73,73,69,83,83,431,2081,CDM,M\M,Leicester City,Spain,Premier League,1300
Nathaniel Clyne,82,3,2,83,61,71,77,80,76,448,2076,RB,H\M,Liverpool,England,Premier League,6000
Douglas Costa,82,5,3,92,77,77,84,32,64,426,2035,LM,M\L,Juventus,Brazil,Calcio A,21750
Ciro Immobile,82,3,4,81,83,61,78,38,74,415,1982,ST,H\M,Lazio,Italy,Calcio A,3900
Juan Cuadrado,82,5,3,91,74,75,86,61,65,452,2149,RM,H\M,Juventus,Colombia,Calcio A,17500
Xherdan Shaqiri,82,4,4,83,77,78,84,46,65,433,2093,RM,H\M,Stoke City,Switzerland,Premier League,2400
Víctor Ruíz,82,2,2,58,42,64,61,83,81,389,1859,CB,M\M,Villarreal CF,Spain,LaLiga Santander,900
Gary Medel,82,2,4,74,48,68,71,81,81,423,2049,CDM,L\H,Beşiktaş JK,Chile,Süper Lig,800
Oliver Baumann,82,1,3,82,82,64,84,47,81,440,868,GK,M\M,TSG 1899 Hoffenheim,Germany,Bundesliga,950
Willian José,82,3,4,66,82,66,76,36,76,402,1914,ST,M\L,Real Sociedad,Brazil,LaLiga Santander,750
Pizzi,82,4,4,79,77,81,83,61,69,450,2188,CM,H\M,SL Benfica,Portugal,Liga NOS,3000
Jonathan Viera,82,3,4,80,75,81,86,52,68,442,2115,CM,H\L,UD Las Palmas,Spain,LaLiga Santander,4200
Francesco Acerbi,82,2,3,62,50,58,59,85,77,391,1845,CB,M\M,Sassuolo,Italy,Calcio A,1700
Heung Min Son,82,4,5,86,82,75,83,25,66,417,2000,LM,H\H,Tottenham Hotspur,Korea Republic,Premier League,22000
Lucas,82,4,3,93,74,75,86,45,62,435,2074,RW,M\M,Paris Saint-Germain,Brazil,Ligue 1 Conforama,8500
Marcos Rojo,82,3,2,71,59,69,68,80,83,430,2067,CB,M\H,Manchester United,Argentina,Premier League,5500
Eric Dier,82,2,3,63,63,71,64,81,85,427,2042,CB,M\H,Tottenham Hotspur,England,Premier League,2000
Deulofeu,82,4,4,93,70,75,87,26,61,412,1958,LW,H\L,FC Barcelona,Spain,LaLiga Santander,7200
Raheem Sterling,82,4,3,93,71,74,85,46,61,430,1971,RW,H\M,Manchester City,England,Premier League,12250
Karim Bellarabi,82,4,3,92,77,74,84,33,68,428,1992,RM,H\H,Bayer 04 Leverkusen,Germany,Bundesliga,5500
Davy Klaassen,82,2,3,73,80,74,75,67,79,448,2131,CM,H\H,Everton,Holland,Premier League,4300
Alessandro Florenzi,82,3,3,85,79,78,82,76,76,476,2296,RB,H\M,Roma,Italy,Calcio A,19000
Stefan Savić,82,2,3,63,35,52,57,83,74,364,1701,CB,M\H,Atlético Madrid,Montenegro,LaLiga Santander,1000
Antonio Rüdiger,82,2,3,74,40,64,64,82,79,403,1852,CB,M\H,Chelsea,Germany,Premier League,15750
Mateo Kovačić,82,4,4,81,69,82,84,61,69,446,2092,CM,H\M,Real Madrid,Croatia,LaLiga Santander,6100
Franco Vázquez,82,3,3,64,77,79,84,43,75,422,2019,CAM,M\H,Sevilla FC,Italy,LaLiga Santander,800
Felipe,82,2,3,68,41,59,62,82,81,393,1823,CB,M\M,FC Porto,Brazil,Liga NOS,2100
Saúl,82,3,4,73,69,78,81,77,75,453,2121,CM,M\H,Atlético Madrid,Spain,LaLiga Santander,3900
Quincy Promes,82,4,4,89,81,76,82,29,67,424,2031,RM,H\L,Spartak Moscow,Holland,Russian Football Premier League,3000
Leon Goretzka,82,3,4,84,73,79,80,77,76,469,2220,CM,H\H,FC Schalke 04,Germany,Bundesliga,21500
Anthony Martial,82,4,4,91,79,70,85,41,74,440,2069,LM,M\L,Manchester United,France,Premier League,54000
Timo Werner,82,3,4,91,79,65,80,28,65,408,1921,ST,H\M,RB Leipzig,Germany,Bundesliga,33000
Federico Bernardeschi,82,4,3,84,76,77,86,34,65,422,2015,RM,H\M,Juventus,Italy,Calcio A,3500
Jonathan Tah,82,2,4,72,27,58,58,82,78,375,1672,CB,M\M,Bayer 04 Leverkusen,Germany,Bundesliga,3600
Keita Baldé Diao,82,4,4,92,76,72,86,29,70,425,1952,LW,H\L,AS Monaco Football Club SA,Senegal,Ligue 1 Conforama,6000
Jean Michaël Seri,82,2,4,80,71,82,81,72,74,460,2203,CM,H\H,OGC Nice,Côte d'Ivoire,Ligue 1 Conforama,5300
Nabil Fekir,82,4,3,78,79,77,86,31,72,423,2032,CAM,M\L,Olympique Lyonnais,France,Ligue 1 Conforama,3300
Islam Slimani,82,2,3,69,78,67,73,47,86,420,2018,ST,H\M,Leicester City,Algeria,Premier League,800
Corentin Tolisso,82,3,3,74,76,78,78,76,83,465,2225,CM,H\M,FC Bayern München,France,Bundesliga,19000
Tiémoué Bakayoko,82,2,3,73,49,70,74,81,83,430,1986,CDM,M\M,Chelsea,France,Premier League,20750
Leroy Sané,82,3,3,94,77,72,85,34,70,432,2025,LW,H\M,Manchester City,Germany,Premier League,30750
Gianluigi Donnarumma,82,1,3,88,78,72,88,46,78,450,930,GK,M\M,Milan,Italy,Calcio A,3900
Samuel Eto'o,81,4,3,74,83,74,79,36,71,417,2060,ST,M\L,Antalyaspor,Cameroon,Süper Lig,850
Fernando Torres,81,3,4,76,78,71,78,25,69,397,1899,ST,M\M,Atlético Madrid,Spain,LaLiga Santander,700
Patrice Evra,81,3,2,74,51,71,76,82,73,427,2100,LB,M\H,Olympique de Marseille,France,Ligue 1 Conforama,1400
Wayne Rooney,81,3,4,68,81,80,76,52,81,438,2166,CAM,M\M,Everton,England,Premier League,5500
Moyá,81,1,2,85,78,82,79,46,81,451,818,GK,M\M,Atlético Madrid,Spain,LaLiga Santander,850
Bastian Schweinsteiger,81,3,3,39,75,81,74,74,74,417,2157,CM,M\M,Chicago Fire Soccer Club,Germany,Major League Soccer,700
Vincent Enyeama,81,1,3,76,80,74,88,50,77,445,1028,GK,M\M,LOSC Lille,Nigeria,Ligue 1 Conforama,1100
Darijo Srna,81,3,3,73,75,85,76,78,74,461,2242,RB,H\H,Shakhtar Donetsk,Croatia,Ukrayina Liha,700
Gonzalo Rodríguez,81,2,3,68,47,61,66,83,76,401,1886,CB,M\H,San Lorenzo de Almagro,Argentina,Primera División,900
André-Pierre Gignac,81,3,3,72,83,72,73,39,82,421,2020,ST,M\M,Tigres U.A.N.L.,France,LIGA Bancomer MX,1400
Hatem Ben Arfa,81,5,4,76,77,77,85,35,69,419,2021,CAM,M\L,Paris Saint-Germain,France,Ligue 1 Conforama,2300
Martin Škrtel,81,2,2,61,38,51,53,82,81,366,1693,CB,M\H,Fenerbahçe SK,Slovakia,Süper Lig,1100
Raúl García,81,3,3,57,76,82,77,66,76,434,2132,CAM,H\M,Athletic Club,Spain,LaLiga Santander,750
Kevin Mirallas,81,4,4,83,77,77,83,46,65,431,2073,LM,H\M,Everton,Belgium,Premier League,3600
Davide Astori,81,2,3,68,36,52,61,84,77,378,1710,CB,L\H,Fiorentina,Italy,Calcio A,950
Simon Mignolet,81,1,2,80,76,65,84,55,78,438,949,GK,M\M,Liverpool,Belgium,Premier League,1000
Adán,81,1,2,80,83,72,82,55,81,453,931,GK,M\M,Real Betis,Spain,LaLiga Santander,1200
Séamus Coleman,81,3,3,73,66,72,78,80,77,446,2092,RB,H\H,Everton,Republic of Ireland,Premier League,1900
Stevan Jovetić,81,4,4,77,81,75,84,34,66,417,2017,ST,H\M,AS Monaco Football Club SA,Montenegro,Ligue 1 Conforama,800
Adil Rami,81,2,3,53,54,48,59,81,82,377,1781,CB,M\H,Olympique de Marseille,France,Ligue 1 Conforama,1400
Mamadou Sakho,81,2,2,61,33,62,57,80,85,378,1749,CB,M\H,Crystal Palace,France,Premier League,750
Konstantinos Mitroglou,81,3,5,58,81,64,72,19,83,377,1827,ST,M\L,Olympique de Marseille,Greece,Ligue 1 Conforama,1200
Marco Parolo,81,3,4,71,76,76,76,77,81,457,2184,CM,H\H,Lazio,Italy,Calcio A,4800
Christian Benteke,81,3,4,73,79,65,74,33,80,404,1906,ST,M\L,Crystal Palace,Belgium,Premier League,1300
Giuliano,81,4,3,81,76,77,82,45,73,434,2062,CAM,H\M,Fenerbahçe SK,Brazil,Süper Lig,1000
Paulinho,81,3,3,76,74,74,77,77,76,454,2190,CM,H\H,FC Barcelona,Brazil,LaLiga Santander,7400
Camacho,81,2,3,61,60,71,70,80,81,423,2047,CDM,M\H,VfL Wolfsburg,Spain,Bundesliga,750
Ryad Boudebouz,81,4,4,76,78,82,81,32,62,411,2004,CAM,H\M,Real Betis,Algeria,LaLiga Santander,700
Manuel Lanzini,81,4,4,82,71,78,86,28,53,398,1938,CAM,M\M,West Ham United,Argentina,Premier League,4900
Jack Wilshere,81,3,2,71,69,80,82,62,72,436,2126,CM,M\M,Arsenal,England,Premier League,2500
Chris Smalling,81,2,3,72,46,56,60,81,83,398,1826,CB,M\H,Manchester United,England,Premier League,7200
De Marcos,81,3,3,86,62,73,78,74,79,452,2126,RB,H\M,Athletic Club,Spain,LaLiga Santander,1700
Lukáš Hrádecký,81,1,3,79,77,73,85,38,79,431,777,GK,M\M,Eintracht Frankfurt,Finland,Bundesliga,700
Mario Götze,81,4,4,68,72,81,88,38,62,409,2008,CM,M\M,Borussia Dortmund,Germany,Bundesliga,1900
Marcos Alonso,81,3,3,77,69,76,76,77,80,455,2143,LWB,H\H,Chelsea,Spain,Premier League,5600
Mario Gaspar,81,2,3,81,70,70,73,80,81,455,2110,RB,H\M,Villarreal CF,Spain,LaLiga Santander,1000
Jesús Corona,81,4,5,83,72,74,88,40,51,408,2004,RM,H\H,FC Porto,Mexico,Liga NOS,800
Ricardo Rodríguez,81,3,3,74,67,80,77,77,72,447,2194,LB,M\M,Milan,Switzerland,Calcio A,2900
Mário Figueira Fernandes,81,2,3,84,65,73,76,80,77,455,2104,RWB,H\H,CSKA Moscow,Russia,Russian Football Premier League,700
Younès Belhanda,81,4,4,75,77,79,84,56,70,441,2141,CAM,M\M,Galatasaray SK,Morocco,Süper Lig,900
Andriy Yarmolenko,81,5,2,81,78,80,82,37,76,434,2056,RW,H\H,Borussia Dortmund,Ukraine,Bundesliga,5000
Kevin Kampl,81,4,4,80,68,77,84,58,62,429,2060,CM,H\H,RB Leipzig,Slovenia,Bundesliga,1900
Grzegorz Krychowiak,81,2,3,65,58,72,67,79,86,427,2025,CDM,M\H,West Bromwich Albion,Poland,Premier League,850
Sebastián Coates,81,2,3,58,40,53,60,80,86,377,1724,CB,M\M,Sporting CP,Uruguay,Liga NOS,750
Serge Aurier,81,3,3,84,66,73,77,78,84,462,2154,RB,H\H,Tottenham Hotspur,Côte d'Ivoire,Premier League,8900
Bartra,81,3,3,77,52,70,74,82,71,426,2028,CB,H\M,Borussia Dortmund,Spain,Bundesliga,2500
Wilfried Zaha,81,4,3,90,71,71,86,33,72,423,1912,RM,H\M,Crystal Palace,Côte d'Ivoire,Premier League,2500
Cédric Bakambu,81,3,4,87,78,72,80,35,74,426,1995,ST,M\M,Villarreal CF,Congo DR,LaLiga Santander,4900
Ross Barkley,81,3,5,77,73,77,82,55,77,441,2050,CAM,M\M,Everton,England,Premier League,5700
Lucas Pérez,81,4,4,81,82,76,80,31,71,421,2031,ST,H\M,RC Deportivo,Spain,LaLiga Santander,1100
Wissam Ben Yedder,81,4,5,83,79,75,85,34,63,419,2055,ST,H\H,Sevilla FC,France,LaLiga Santander,4400
Sergi Roberto,81,3,3,77,64,80,75,79,72,447,2077,RB,M\M,FC Barcelona,Spain,LaLiga Santander,850
Jasper Cillessen,81,1,3,79,83,74,77,54,81,448,949,GK,M\M,FC Barcelona,Holland,LaLiga Santander,900
Nacho Fernández,81,2,4,76,37,65,64,81,78,401,1860,CB,M\M,Real Madrid,Spain,LaLiga Santander,3700
Rafinha,81,4,4,74,76,79,84,62,64,439,2102,CM,M\M,FC Barcelona,Brazil,LaLiga Santander,1600
Felipe Anderson,81,4,4,92,75,77,86,53,62,445,2082,RW,H\H,Lazio,Brazil,Calcio A,4000
Thomas Meunier,81,3,4,76,74,75,77,78,84,464,2165,RB,H\H,Paris Saint-Germain,Belgium,Ligue 1 Conforama,2400
Jack Butland,81,1,3,81,83,72,85,38,78,437,885,GK,M\M,Stoke City,England,Premier League,3600
Héctor Bellerín,81,3,3,95,51,69,78,75,70,438,2016,RB,H\M,Arsenal,Spain,Premier League,15750
Luiz Frello Filho Jorge,81,3,3,75,64,80,80,70,68,437,2133,CM,M\M,Napoli,Italy,Calcio A,1500
Sergio Rico,81,1,3,80,79,78,83,50,81,451,850,GK,M\M,Sevilla FC,Spain,LaLiga Santander,800
Michael Keane,81,2,3,72,49,64,68,82,82,417,1907,CB,M\H,Everton,England,Premier League,4000
Hakim Ziyech,81,4,2,76,74,86,78,52,64,430,2070,CM,H\M,Ajax,Morocco,Eredivisie,1100
Jamie Vardy,81,3,3,91,79,63,77,51,78,439,2064,ST,H\H,Leicester City,England,Premier League,29750
Guerreiro,81,4,3,77,75,81,83,74,63,453,2201,LM,M\M,Borussia Dortmund,Portugal,Bundesliga,1200
Morgan Sanson,81,3,4,76,75,80,80,76,77,464,2209,CM,M\M,Olympique de Marseille,France,Ligue 1 Conforama,4800
Domenico Berardi,81,3,3,85,80,76,83,30,72,426,2043,RW,H\M,Sassuolo,Italy,Calcio A,1600
Bruma,81,4,4,93,71,73,85,34,65,421,2003,LM,H\H,RB Leipzig,Portugal,Bundesliga,3300
Joshua Kimmich,81,3,4,70,67,82,80,77,72,448,2176,RB,H\M,FC Bayern München,Germany,Bundesliga,2700
Andreas Christensen,81,2,3,64,31,62,67,84,69,377,1718,CB,M\M,Chelsea,Denmark,Premier League,1400
Williams,81,4,3,93,78,73,79,34,79,436,1958,RW,H\H,Athletic Club,Spain,LaLiga Santander,5900
Davinson Sánchez,81,2,3,71,47,50,60,81,83,392,1770,CB,M\H,Tottenham Hotspur,Colombia,Premier League,4700
Julian Weigl,81,2,3,70,49,76,76,76,68,415,1956,CDM,M\M,Borussia Dortmund,Germany,Bundesliga,700
Gelson Martins,81,5,3,94,70,73,86,44,60,427,2048,RM,H\M,Sporting CP,Portugal,Liga NOS,3200
Nélson Semedo,81,3,3,92,57,68,80,76,71,444,2048,RB,H\M,FC Barcelona,Portugal,LaLiga Santander,7400
Gabriel Jesus,81,4,4,87,79,71,87,26,67,417,2003,ST,H\H,Manchester City,Brazil,Premier League,41000
Jermain Defoe,80,3,4,74,85,61,79,25,65,389,1912,ST,M\L,Bournemouth,England,Premier League,700
Carlos Idriss Kameni,80,1,3,84,82,74,80,44,76,440,897,GK,M\M,Fenerbahçe SK,Cameroon,Süper Lig,900
Jérémy Mathieu,80,2,2,72,62,67,61,80,83,425,2021,CB,H\M,Sporting CP,France,Liga NOS,4500
Mehmet Topal,80,2,5,68,66,67,74,82,80,437,2066,CDM,M\H,Fenerbahçe SK,Turkey,Süper Lig,750
Atiba Hutchinson,80,3,4,69,65,75,75,77,79,440,2096,CDM,H\H,Beşiktaş JK,Canada,Süper Lig,800
James Milner,80,3,4,67,74,82,77,76,78,454,2236,LB,H\H,Liverpool,England,Premier League,1100
Kaká,80,4,4,62,76,79,78,30,58,383,1898,CAM,H\M,Orlando City Soccer Club,Brazil,Major League Soccer,750
Fernando Belluschi,80,4,4,70,75,81,79,58,69,432,2135,CAM,H\M,San Lorenzo de Almagro,Argentina,Primera División,700
Lukas Podolski,80,3,3,78,84,75,77,39,74,427,2062,ST,M\L,Vissel Kobe,Germany,Meiji Yasuda J1 League,1150
Manuel Fernandes,80,4,4,79,76,79,82,66,71,453,2161,CAM,M\L,Lokomotiv Moscow,Portugal,Russian Football Premier League,1600
Salomon Kalou,80,4,3,68,78,73,84,33,62,398,1957,LM,M\L,Hertha BSC,Côte d'Ivoire,Bundesliga,750
Vedad Ibišević,80,3,4,53,80,68,73,31,76,381,1898,ST,M\L,Hertha BSC,Bosnia and Herzegovina,Bundesliga,750
Tom Heaton,80,1,3,80,79,76,83,56,79,453,926,GK,M\M,Burnley,England,Premier League,850
Theo Walcott,80,3,3,91,75,72,80,38,66,422,2009,RM,M\M,Arsenal,England,Premier League,3000
Dušan Basta,80,2,3,76,67,71,76,80,76,446,2118,RB,H\H,Lazio,Serbia,Calcio A,900
Vitaliy Denisov,80,2,3,83,51,67,71,79,79,430,2001,LB,H\H,Lokomotiv Moscow,Uzbekistan,Russian Football Premier League,700
Erik Lamela,80,4,2,76,77,79,82,45,67,426,2065,RM,H\H,Tottenham Hotspur,Argentina,Premier League,1200
Jonathan dos Santos,80,3,4,66,68,82,80,59,67,422,2062,CM,H\H,LA Galaxy,Mexico,Major League Soccer,700
Andrés Guardado,80,3,2,76,64,80,82,67,68,437,2126,CM,M\M,Real Betis,Mexico,LaLiga Santander,1000
Daniel Wass,80,3,3,75,73,80,79,66,71,444,2122,CM,M\M,RC Celta,Denmark,LaLiga Santander,1000
Antonio Candreva,80,3,4,78,80,76,79,56,71,440,2087,RM,M\M,Inter,Italy,Calcio A,1500
Kevin-Prince Boateng,80,4,4,73,77,77,79,67,80,453,2175,ST,M\M,Eintracht Frankfurt,Ghana,Bundesliga,2600
Pedro León,80,3,3,67,76,83,81,40,62,409,1964,RM,H\L,SD Eibar,Spain,LaLiga Santander,700
Valter Birsa,80,3,3,75,72,80,82,49,72,430,2059,CAM,M\M,Chievo Verona,Slovenia,Calcio A,1000
Ignacio Piatti,80,5,4,76,80,73,85,49,73,436,2051,LW,H\M,Impact Montréal,Argentina,Major League Soccer,800
André Ayew,80,3,3,75,74,75,81,60,77,442,2135,RM,H\M,West Ham United,Ghana,Premier League,750
Sven Bender,80,2,4,70,51,61,61,82,80,405,1890,CB,M\H,Bayer 04 Leverkusen,Germany,Bundesliga,1800
Nacho Monreal,80,2,3,73,53,72,75,80,72,425,2055,LB,H\H,Arsenal,Spain,Premier League,800
Kiko Casilla,80,1,2,75,83,80,77,32,82,429,935,GK,M\M,Real Madrid,Spain,LaLiga Santander,700
Eder Citadin Martins,80,3,4,85,80,73,83,25,63,409,1967,ST,H\M,Inter,Italy,Calcio A,2400
Jeremain Lens,80,4,4,89,76,76,81,32,71,425,2003,RM,H\M,Beşiktaş JK,Holland,Süper Lig,1600
Diego Perotti,80,4,5,81,71,78,85,32,59,406,1961,CF,M\H,Roma,Argentina,Calcio A,900
Ibrahima Traoré,80,4,2,88,72,77,84,39,56,416,2028,RM,H\H,Borussia Mönchengladbach,Guinea,Bundesliga,1000
Matteo Darmian,80,3,5,77,58,68,76,80,73,432,2042,LB,L\H,Manchester United,Italy,Premier League,950
Luiz Gustavo,80,2,3,64,59,68,70,80,80,421,1995,CDM,M\H,Olympique de Marseille,Brazil,Ligue 1 Conforama,1200
Danny Welbeck,80,3,3,84,74,71,78,37,78,422,1995,ST,H\H,Arsenal,England,Premier League,3000
Igor Smolnikov,80,2,3,87,61,75,73,76,74,446,2079,RB,H\M,Zenit St. Petersburg,Russia,Russian Football Premier League,700
Fedor Smolov,80,3,4,87,80,70,76,32,73,418,1964,ST,H\M,FC Krasnodar,Russia,Russian Football Premier League,850
Marcel Schmelzer,80,2,2,80,51,69,67,79,79,425,2016,LB,H\H,Borussia Dortmund,Germany,Bundesliga,2100
Salomón Rondón,80,3,4,75,76,56,74,31,80,392,1816,ST,H\M,West Bromwich Albion,Venezuela,Premier League,700
Iago Falqué,80,4,3,79,72,78,84,35,57,405,1952,RW,M\H,Torino,Spain,Calcio A,800
Michail Antonio,80,4,4,85,74,70,80,52,82,443,2087,ST,H\H,West Ham United,England,Premier League,9500
Stephan El Shaarawy,80,5,2,87,75,70,84,31,58,405,1926,LW,H\M,Roma,Italy,Calcio A,6200
Daley Blind,80,2,4,60,56,79,76,80,76,427,2103,LB,M\M,Manchester United,Holland,Premier League,800
Eduardo Salvio,80,4,4,87,74,74,80,44,70,429,2057,RM,H\L,SL Benfica,Argentina,Liga NOS,1500
Fabián Orellana,80,4,4,80,73,76,83,32,50,394,1929,CAM,H\M,Valencia CF,Chile,LaLiga Santander,850
Kevin Vogt,80,2,3,76,57,69,67,79,80,428,1976,CB,M\M,TSG 1899 Hoffenheim,Germany,Bundesliga,2500
Roberto Pereyra,80,4,4,78,66,80,81,68,68,441,2130,CM,H\H,Watford,Argentina,Premier League,3700
Maxime Gonalons,80,2,4,66,61,69,70,80,81,427,2047,CDM,L\H,Roma,France,Calcio A,1000
André Schürrle,80,3,4,83,82,74,79,38,70,426,2061,LM,H\H,Borussia Dortmund,Germany,Bundesliga,700
Roberto Soriano,80,3,4,77,77,80,80,63,73,450,2136,LM,M\M,Villarreal CF,Italy,LaLiga Santander,1600
Daniel Didavi,80,3,3,77,81,76,80,52,72,438,2096,CAM,M\M,VfL Wolfsburg,Germany,Bundesliga,1000
Neto,80,1,2,84,80,74,83,53,74,448,932,GK,M\M,Valencia CF,Brazil,LaLiga Santander,950
Sergi Enrich,80,3,4,66,77,69,75,42,79,408,1939,ST,H\H,SD Eibar,Spain,LaLiga Santander,750
Yaroslav Rakitskyi,80,2,3,72,68,76,73,81,78,448,2140,CB,H\M,Shakhtar Donetsk,Ukraine,Ukrayina Liha,700
Oğuzhan Özyakup,80,4,4,75,74,83,81,59,69,441,2155,CM,M\M,Beşiktaş JK,Turkey,Süper Lig,1300
Josuha Guilavogui,80,2,3,70,59,66,68,81,81,425,1980,CDM,M\H,VfL Wolfsburg,France,Bundesliga,900
Alex Oxlade-Chamberlain,80,4,4,88,70,74,83,52,70,437,2028,RM,H\M,Liverpool,England,Premier League,2300
Pablo Sarabia,80,4,4,76,73,80,83,30,53,395,1874,RM,H\M,Sevilla FC,Spain,LaLiga Santander,700
Luis Muriel,80,4,4,89,77,68,84,24,72,414,1922,ST,H\L,Sevilla FC,Colombia,LaLiga Santander,4500
Dušan Tadić,80,4,2,70,67,80,83,37,64,401,1977,CAM,M\M,Southampton,Serbia,Premier League,1400
Allan,80,3,3,77,64,75,78,79,81,454,2138,CM,M\H,Napoli,Brazil,Calcio A,3000
Kevin Volland,80,3,3,77,81,78,79,39,82,436,2102,ST,H\H,Bayer 04 Leverkusen,Germany,Bundesliga,1800
Josip Iličić,80,4,3,70,82,80,81,35,64,412,1972,CF,M\M,Atalanta,Slovenia,Calcio A,700
Memphis Depay,80,4,3,89,77,72,83,30,77,428,2021,LW,H\L,Olympique Lyonnais,Holland,Ligue 1 Conforama,3600
Simone Zaza,80,3,3,76,79,59,76,42,84,416,2001,ST,H\H,Valencia CF,Italy,LaLiga Santander,2000
Valère Germain,80,3,4,78,80,75,79,31,68,411,2034,ST,H\M,Olympique de Marseille,France,Ligue 1 Conforama,1000
Thorgan Hazard,80,4,3,81,78,80,84,37,64,424,2052,RF,H\M,Borussia Mönchengladbach,Belgium,Bundesliga,1300
Loris Karius,80,1,3,84,74,74,85,51,76,444,844,GK,M\M,Liverpool,Germany,Premier League,1200
John Brooks,80,2,3,74,39,57,64,81,77,392,1771,CB,M\M,VfL Wolfsburg,United States,Bundesliga,1600
Michy Batshuayi,80,3,4,79,80,59,77,27,74,396,1876,ST,M\L,Chelsea,Belgium,Premier League,2100
Denis Suárez,80,3,3,79,74,81,83,51,58,426,2027,CM,M\M,FC Barcelona,Spain,LaLiga Santander,1500
Matija Nastasić,80,2,3,70,31,58,52,82,75,368,1742,CB,L\H,FC Schalke 04,Serbia,Bundesliga,1200
Leo Baptistao,80,3,3,79,77,69,79,28,64,396,1882,ST,M\M,RCD Espanyol,Brazil,LaLiga Santander,800
Oleg Shatov,80,4,4,88,73,77,81,47,68,434,2047,LM,H\M,Zenit St. Petersburg,Russia,Russian Football Premier League,1100
Taras Stepanenko,80,2,3,67,61,71,70,79,80,428,2027,CDM,M\H,Shakhtar Donetsk,Ukraine,Ukrayina Liha,700
Sead Kolašinac,80,2,2,78,53,61,64,78,89,423,1902,LB,M\H,Arsenal,Bosnia and Herzegovina,Premier League,1900
Jonas Hector,80,2,3,77,60,76,76,79,77,445,2090,CDM,M\M,1. FC Köln,Germany,Bundesliga,750
Fred,80,3,4,82,70,76,82,71,63,444,2138,CM,H\H,Shakhtar Donetsk,Brazil,Ukrayina Liha,1000
Grimaldo,80,3,2,86,60,72,81,75,72,446,2119,LB,H\M,SL Benfica,Spain,Liga NOS,1700
Ricardo Pereira,80,3,4,88,62,77,81,77,70,455,2136,RB,H\H,FC Porto,Portugal,Liga NOS,1100
Piotr Zieliński,80,4,5,83,69,79,82,62,60,435,2061,CM,M\M,Napoli,Poland,Calcio A,2100
Samu Castillejo,80,4,2,86,67,79,81,37,48,398,1900,RM,M\H,Villarreal CF,Spain,LaLiga Santander,750
Daniele Rugani,80,2,3,61,39,53,64,83,75,375,1731,CB,L\M,Juventus,Italy,Calcio A,800
Julian Brandt,80,4,4,82,73,76,83,26,61,401,1853,LM,M\M,Bayer 04 Leverkusen,Germany,Bundesliga,800
Alex Telles,80,3,2,83,61,77,78,75,74,448,2173,LB,H\M,FC Porto,Brazil,Liga NOS,1000
Youri Tielemans,80,3,5,53,79,80,77,68,71,428,2130,CM,M\M,AS Monaco Football Club SA,Belgium,Ligue 1 Conforama,900
Sergej Milinković-Savić,80,4,4,71,71,73,79,73,83,450,2122,CM,H\M,Lazio,Serbia,Calcio A,4000
